date,transformer,a2c,ppo,td3,sac,ddpg
2023-12-08,1104091.152577391,1026443.2605943909,1082193.9553524668,1049794.1444608078,1055268.7510896842,1065440.3169687747
2023-12-11,1117832.704540251,1036501.6355943909,1075816.4553524668,1056839.3944608078,1057035.8760896842,1074913.5669687747
2023-12-12,1122370.570513342,1039284.5730943909,1083109.4553524668,1063096.1444608078,1061818.3760896842,1079690.5669687747
2023-12-13,1132138.320513342,1048903.6980943908,1090792.3303524668,1074517.7694608078,1074949.0010896842,1095413.9419687747
2023-12-14,1138582.195513342,1055384.0730943908,1075183.5803524668,1078061.3944608078,1086108.3760896842,1089023.4419687747
2023-12-15,1150432.320513342,1058024.0730943908,1081889.8303524668,1083835.6444608078,1094174.1260896842,1094368.6919687747
2023-12-19,1152827.570513342,1064620.9480943908,1079097.3303524668,1093767.7694608078,1097693.6260896842,1098510.8169687747
2023-12-20,1139314.2264983237,1050978.5730943908,1066670.3303524668,1080205.8944608078,1085040.939086514,1085191.6919687747
2023-12-21,1148389.3554354117,1059622.1980943908,1072383.925901829,1091355.2694608078,1089348.564086514,1096676.8169687747
2023-12-22,1148133.229998522,1052266.8230943908,1071286.675901829,1094065.6444608078,1086590.314086514,1103828.0669687747
2023-12-26,1156765.905403643,1059369.0730943908,1071270.300901829,1100483.7694608078,1091449.564086514,1108868.6919687747
2023-12-27,1156986.780403643,1059191.0730943908,1072321.425901829,1102146.2694608078,1092561.939086514,1109630.6919687747
2023-12-28,1156452.655403643,1060744.8230943908,1074065.800901829,1104164.1444608078,1092154.564086514,1114719.0669687747
2023-12-29,1156832.280403643,1060217.1980943908,1072995.300901829,1103130.6444608078,1090196.189086514,1114551.8169687747
