date,transformer,a2c,ppo,td3,sac,ddpg
2024-04-25,944130.8300200657,988495.9061103594,982388.9151212767,1003664.618931486,969915.7456103517,904208.3726484033
2024-04-26,945738.636583914,988303.0936103594,986855.309264801,1006768.118931486,971750.3081103517,904494.1851484033
2024-04-29,955386.2912100166,991449.8436103594,985859.9280530319,1012806.181431486,985126.7456103517,915627.3101484033
2024-04-30,938091.1091983474,980933.0311103594,969020.4280530319,992975.368931486,971442.6206103517,904019.7476484033
2024-05-01,945944.3855612586,985460.3436103594,971090.3030530319,997555.118931486,973400.9956103517,911164.8726484033
2024-05-02,961165.9987294257,990607.7186103594,983193.8655530319,1004711.868931486,989792.8875357591,920910.4976484033
2024-05-03,967491.6542455542,993045.0936103594,1004839.6155530319,1023457.181431486,1010883.5856488573,963720.7476484033
2024-05-06,969719.3417455542,998819.7811103594,1009051.8030530319,1026472.431431486,1008277.7614238816,949921.6226484033
2024-05-07,965440.5917455542,995989.9686103594,1012296.4905530319,1024833.306431486,1002784.8239238816,953062.4351484033
2024-05-08,975072.4667455542,1000818.4686103594,1014409.8655530319,1032064.743931486,1009641.5114238816,966079.9976484033
2024-05-09,978041.7167455542,1005800.7186103594,1023367.1780530319,1037851.743931486,1020147.017729561,976408.4351484033
2024-05-10,975675.9667455542,1006195.1561103594,1026436.36070265,1040487.743931486,1015713.392729561,974000.7476484033
2024-05-13,975328.3362852976,1006781.7811103594,1027653.61070265,1041608.806431486,1018696.3129740068,971765.6226484033
2024-05-14,979345.1914841807,1007223.2811103594,1030989.42320265,1043895.931431486,1022759.8129740068,977678.5601484033
2024-05-15,975712.8789841807,1006719.5936103594,1044336.79820265,1056027.368931486,1028763.7504740068,985343.5601484033
2024-05-16,990215.4414841807,1014186.1561103594,1042851.36070265,1052819.493931486,1033325.4413999368,989359.1851484033
2024-05-17,994419.1118927501,1017202.7811103594,1044768.48570265,1055579.368931486,1037441.4079385262,989307.8726484033
2024-05-20,997450.2312213482,1011322.4686103594,1042149.11070265,1056719.868931486,1032461.2410913316,988815.9351484033
2024-05-21,994750.2597149451,1009549.7186103594,1047335.98570265,1055380.618931486,1033224.6006795331,989809.3101484033
2024-05-22,998253.0337906898,1008777.5311103594,1045676.92320265,1053179.493931486,1032480.875451399,982791.3726484033
2024-05-23,956563.4638794044,987846.4061103594,1031281.73570265,1034338.368931486,1000002.9253890668,962068.1226484033
2024-05-24,962522.7961119406,989036.9061103594,1032016.5933281593,1033276.493931486,1010225.6596505261,961637.6851484033
2024-05-28,960466.7601586288,983198.4686103594,1028643.5933281593,1025343.681431486,1009449.5629714166,952177.9976484033
2024-05-29,947931.0280495055,975156.8436103594,1016957.6558281593,1016161.431431486,1003285.6739443475,937234.8101484033
2024-05-30,949928.2075743774,978870.8436103594,1010969.0933281593,994539.993931486,1008448.4000978948,943535.2476484033
2024-05-31,952204.6450743774,984555.7186103594,1020375.9683281593,1004602.493931486,1015200.633997513,948962.6226484033
